dataset,task,n_rows,n_features,target_col,n_raw_rows,n_raw_cols,target_min,target_max,target_mean,n_missing_cells,base_rate,mass_at_0,mass_at_1,cache_version,raw_path,seconds,cached
0001.gmsc,pd,150000,10,SeriousDlqin2yrs,0,0,0.0,1.0,0.06684000045061111,33655,0.06684000045061111,,,3,C:\Users\U0152019\PhD Documents\Projects\4. CreditICL\CreditICL\data\raw\pd\0001.gmsc.csv,0.5,True
0002.taiwan_creditcard,pd,30000,23,default.payment.next.month,0,0,0.0,1.0,0.22120000422000885,0,0.22120000422000885,,,3,C:\Users\U0152019\PhD Documents\Projects\4. CreditICL\CreditICL\data\raw\pd\0002.taiwan_creditcard.csv,0.3,True
0003.vehicle_loan,pd,233154,35,loan_default,0,0,0.0,1.0,0.21707111597061157,0,0.21707111597061157,,,3,C:\Users\U0152019\PhD Documents\Projects\4. CreditICL\CreditICL\data\raw\pd\0003.vehicle_loan.csv,3.91,True
0004.lendingclub,pd,9578,13,not.fully.paid,0,0,0.0,1.0,0.1600542962551117,0,0.1600542962551117,,,3,C:\Users\U0152019\PhD Documents\Projects\4. CreditICL\CreditICL\data\raw\pd\0004.lendingclub.csv,0.08,True
0005.myhom,pd,7000,8,loan_default,0,0,0.0,1.0,0.4000000059604645,245,0.4000000059604645,,,3,C:\Users\U0152019\PhD Documents\Projects\4. CreditICL\CreditICL\data\raw\pd\0005.myhom.csv,0.05,True
0006.hackerearth,pd,532428,37,loan_status,0,0,0.0,1.0,0.23632678389549255,1286305,0.23632678389549255,,,3,C:\Users\U0152019\PhD Documents\Projects\4. CreditICL\CreditICL\data\raw\pd\0006.hackerearth.csv,7.33,True
0007.cobranded,pd,80000,47,default_ind,0,0,0.0,1.0,0.24621249735355377,708237,0.24621249735355377,,,3,C:\Users\U0152019\PhD Documents\Projects\4. CreditICL\CreditICL\data\raw\pd\0007.cobranded.csv,2.19,True
0008.german,pd,1000,20,target,0,0,0.0,1.0,0.30000001192092896,0,0.30000001192092896,,,3,C:\Users\U0152019\PhD Documents\Projects\4. CreditICL\CreditICL\data\raw\pd\0008.german.csv,0.03,True
0009.bank_status,pd,100000,16,Loan Status,0,0,0.0,1.0,0.22639000415802002,97489,0.22639000415802002,,,3,C:\Users\U0152019\PhD Documents\Projects\4. CreditICL\CreditICL\data\raw\pd\0009.bank_status.csv,0.88,True
0010.thomas,pd,1225,14,BAD,0,0,0.0,1.0,0.26367345452308655,0,0.26367345452308655,,,3,C:\Users\U0152019\PhD Documents\Projects\4. CreditICL\CreditICL\data\raw\pd\0010.thomas.csv,0.04,True
0011.loan_default,pd,105471,759,loss,0,0,0.0,1.0,0.09275535494089127,785955,0.09275535494089127,,,3,C:\Users\U0152019\PhD Documents\Projects\4. CreditICL\CreditICL\data\raw\pd\0011.loan_default.csv,40.21,True
0012.home_credit,pd,307511,120,TARGET,0,0,0.0,1.0,0.08072882145643234,8388094,0.08072882145643234,,,3,C:\Users\U0152019\PhD Documents\Projects\4. CreditICL\CreditICL\data\raw\pd\0012.home_credit.csv,9.51,True
0013.hmeq,pd,5960,12,BAD,0,0,0.0,1.0,0.19949664175510406,4740,0.19949664175510406,,,3,C:\Users\U0152019\PhD Documents\Projects\4. CreditICL\CreditICL\data\raw\pd\0013.hmeq.csv,0.04,True
0014.algorithmwatch,pd,158700,2986,arrears,0,0,0.0,1.0,0.3780907392501831,0,0.3780907392501831,,,3,C:\Users\U0152019\PhD Documents\Projects\4. CreditICL\CreditICL\data\raw\pd\0014.algorithmwatch.parquet,71.09,True
